Customer_ID,Age,Gender,City,Product,Category,Quantity,Price,Purchase_Date,Payment_Method
1001,46.0,Male,Mumbai,Headphones,Audio,5.0,799,2025-04-13,Credit Card
1002,40.0,Male,Mumbai,Keyboard,Accessories,5.0,599,2025-04-14,Cash
1003,39.0,Male,Delhi,Keyboard,Accessories,4.0,999,2025-02-07,Credit Card
1004,,Male,Bangalore,Headphones,Audio,2.0,999,2025-03-30,UPI
1005,59.0,Female,Bangalore,Keyboard,Accessories,4.0,1999,2025-01-15,Credit Card
1006,20.0,Male,Mumbai,Webcam,Electronics,5.0,299,2025-06-16,Credit Card
1007,42.0,Female,Hyderabad,Headphones,Audio,2.0,unknown,2025-01-09,Credit Card
1008,19.0,Female,Bangalore,USB Cable,Accessories,4.0,1499,2025-06-21,UPI
1009,31.0,Male,,Keyboard,Accessories,2.0,1999,2025-05-12,Credit Card
1010,23.0,Female,Delhi,Webcam,Electronics,4.0,999,2025-05-26,Credit Card
1011,51.0,Female,Hyderabad,Headphones,Audio,4.0,999,2025-04-05,Cash
1012,40.0,Female,Raipur,Webcam,Electronics,5.0,1999,2025-03-23,Debit Card
1013,41.0,Female,Raipur,USB Cable,Accessories,4.0,599,2025-05-04,
1014,46.0,Male,Pune,Laptop Bag,Accessories,1.0,299,2025-03-12,UPI
1015,25.0,Female,Mumbai,Laptop Bag,Accessories,3.0,299,2025-05-16,Debit Card
1016,50.0,male,Pune,Keyboard,Accessories,2.0,1499,2025-02-10,Cash
1017,25.0,Female,Delhi,Laptop Bag,Accessories,1.0,1999,2025-05-31,Credit Card
1018,,Female,Hyderabad,USB Cable,Accessories,3.0,499,2025-04-11,Debit Card
1019,20.0,Male,Pune,Webcam,Electronics,2.0,1499,2025-05-22,Debit Card
1020,26.0,Male,Delhi,Keyboard,Accessories,2.0,599,2025-06-28,Debit Card
1021,49.0,Female,Hyderabad,Laptop Bag,Accessories,5.0,1499,2025-05-23,Debit Card
1022,53.0,Male,Mumbai,USB Cable,Accessories,,999,2025-01-28,Credit Card
1023,23.0,Female,Bangalore,Wireless Mouse,Accessories,4.0,599,2025-03-25,Credit Card
1024,28.0,Female,Delhi,Webcam,Electronics,4.0,299,2025-05-09,UPI
1025,30.0,Male,Mumbai,Keyboard,Accessories,3.0,299,2025-03-03,UPI
1026,59.0,Female,Mumbai,Laptop Bag,Accessories,1.0,599,2025-04-23,Credit Card
1027,29.0,Female,Delhi,Laptop Bag,Accessories,3.0,299,2025-04-11,UPI
1028,19.0,Female,Bangalore,Laptop Bag,accessories,5.0,1999,2025-05-09,Debit Card
1029,19.0,Male,Bangalore,Webcam,Electronics,2.0,1999,2025-06-09,Debit Card
1030,28.0,Female,Mumbai,Headphones,Audio,1.0,1499,2025-02-07,Cash
1031,51.0,Female,Hyderabad,USB Cable,Accessories,3.0,1499,2025-05-24,UPI
1032,23.0,Female,Pune,Laptop Bag,Accessories,3.0,599,2025-06-13,Debit Card
1033,20.0,Male,Mumbai,Wireless Mouse,Accessories,4.0,1999,2025-02-21,UPI
1034,57.0,Female,Delhi,Laptop Bag,Accessories,1.0,499,2025-06-27,Debit Card
1035,-4.0,Male,Bangalore,Webcam,Electronics,2.0,1999,2025-03-01,UPI
1036,18.0,Female,Hyderabad,Wireless Mouse,Accessories,4.0,799,2025-02-06,Cash
1037,26.0,Male,Mumbai,Keyboard,Accessories,3.0,1999,2025-05-11,Cash
1038,50.0,Female,Bangalore,Webcam,Electronics,3.0,299,2025-06-13,Credit Card
1039,52.0,Female,Hyderabad,Headphones,Audio,1.0,unknown,2025-06-02,UPI
1040,35.0,Female,Hyderabad,Wireless Mouse,Accessories,3.0,1999,2025-06-18,Cash
1041,21.0,Male,Hyderabad,Laptop Bag,Accessories,5.0,1999,2025-05-28,Cash
1042,34.0,Female,,Keyboard,Accessories,4.0,499,2025-04-25,Credit Card
1043,47.0,Female,Hyderabad,Webcam,Electronics,5.0,499,2025-01-08,Debit Card
1044,51.0,Male,Hyderabad,Keyboard,Accessories,1.0,599,2025-04-21,Cash
1045,22.0,Female,Pune,Laptop Bag,Accessories,3.0,599,2025-02-04,Cash
1046,34.0,Female,Bangalore,Laptop Bag,Accessories,5.0,999,2025-04-27,Credit Card
1047,58.0,Male,Pune,Keyboard,Accessories,1.0,999,2025-06-30,Debit Card
1048,50.0,Female,Pune,Keyboard,Accessories,5.0,1999,2025-06-10,Cash
1049,35.0,male,Delhi,Keyboard,Accessories,2.0,499,2025-04-14,Credit Card
1050,49.0,Male,Hyderabad,Wireless Mouse,Accessories,2.0,1499,2025-06-04,Credit Card
1051,43.0,Male,Raipur,Wireless Mouse,Accessories,1.0,499,2025-06-25,Debit Card
1052,59.0,Male,Delhi,USB Cable,Accessories,3.0,399,2025-06-02,Cash
1053,24.0,Male,Bangalore,USB Cable,Accessories,5.0,599,2025-03-06,Cash
1054,33.0,Female,Bangalore,Webcam,Electronics,3.0,1499,2025-05-23,Cash
1055,19.0,Female,Hyderabad,Wireless Mouse,Accessories,3.0,299,2025-03-04,Credit Card
1056,39.0,Female,Delhi,USB Cable,Accessories,1.0,599,2025-06-19,Credit Card
1057,60.0,Female,Pune,Webcam,Electronics,1.0,1999,2025-02-22,Cash
1058,22.0,Male,Bangalore,Headphones,Audio,5.0,1999,2025-04-26,
1059,57.0,Female,Pune,Keyboard,Accessories,2.0,599,2025-04-16,Credit Card
1060,34.0,Female,Mumbai,Keyboard,Accessories,4.0,399,2025-03-31,UPI
1061,40.0,Male,Raipur,Wireless Mouse,Accessories,4.0,799,2025-05-09,Credit Card
1062,18.0,Male,Delhi,Wireless Mouse,Accessories,1.0,1999,2025-04-27,UPI
1063,56.0,Female,Pune,USB Cable,Accessories,5.0,1499,2025-03-17,Credit Card
1064,54.0,Female,Raipur,Keyboard,Accessories,5.0,999,2025-03-10,Debit Card
1065,,Female,Hyderabad,Laptop Bag,Accessories,4.0,799,2025-05-24,Credit Card
1066,38.0,Male,Bangalore,Wireless Mouse,Accessories,1.0,999,2025-04-11,Debit Card
